"county","fire_count"
Smith,3106
Rusk,2793
Upshur,2717
Cherokee,2545
Jasper,2434
Cass,2417
Harrison,2028
Anderson,1988
Navarro,1951
Bowie,1942
Wood,1893
Bastrop,1845
Newton,1732
Hidalgo,1723
Erath,1697
Montgomery,1566
Hunt,1552
Atascosa,1493
Red River,1467
Bell,1436
Kaufman,1428
Henderson,1414
Palo Pinto,1408
Gregg,1386
Titus,1374
Panola,1371
Tyler,1362
Hardin,1287
Tarrant,1283
Hill,1267
Cooke,1255
Angelina,1221
Wichita,1198
Collin,1176
Starr,1168
Parker,1151
Grimes,1135
Lamar,1103
Bexar,1097
Montague,1086
Marion,1086
Nacogdoches,1075
Taylor,1058
Williamson,1047
McLennan,1042
Houston,1011
Coryell,1010
Fannin,995
Clay,985
Freestone,975
Bosque,956
Frio,945
Dallas,904
Brown,904
Wise,895
Polk,868
Van Zandt,863
Andrews,855
Young,851
Gillespie,846
Grayson,841
San Jacinto,828
Callahan,824
Denton,817
Camp,800
Burleson,797
Walker,796
Tom Green,772
Ellis,766
Howard,763
Caldwell,697
Burnet,695
Limestone,676
Wilson,671
Brazos,668
Lubbock,665
Travis,636
Gaines,636
Jim Wells,635
Victoria,613
Medina,613
Sabine,608
Guadalupe,591
Scurry,585
Lee,579
Archer,565
Jones,550
Comanche,536
Coleman,522
Hamilton,521
San Augustine,506
Jack,476
Bee,473
Hood,472
Hays,472
Morris,464
Wheeler,459
Randall,447
Washington,442
Potter,438
Comal,433
Milam,428
Stephens,422
Johnson,421
Eastland,419
Swisher,414
La Salle,414
Kendall,412
Uvalde,411
Shelby,409
Blanco,408
Hopkins,391
Liberty,389
Nolan,386
Karnes,383
Midland,370
Trinity,369
Kerr,364
Fayette,352
Donley,343
Live Oak,341
Shackelford,335
Hutchinson,327
Franklin,326
Brazoria,324
Haskell,320
Harris,318
Leon,309
Orange,300
Lavaca,296
San Saba,295
Hemphill,290
Winkler,287
Fisher,287
Mason,269
Jefferson,262
Ward,258
Robertson,257
Wilbarger,252
Bailey,252
Nueces,249
Jeff Davis,248
Hartley,245
Lynn,231
Carson,231
Dallam,229
Presidio,223
Kimble,221
Rockwall,217
Lampasas,207
Goliad,205
Hansford,198
Hall,196
Llano,194
Zapata,192
Concho,188
De Witt,187
Falls,184
Gonzales,182
Cottle,179
Floyd,175
Throckmorton,169
Stonewall,169
Lipscomb,167
Moore,162
Dickens,160
Delta,159
Motley,158
Zavala,155
Hardeman,155
Crockett,153
Aransas,153
Madison,152
McCulloch,151
Collingsworth,150
Armstrong,149
Terry,145
Lamb,145
Gray,144
Dimmit,140
Galveston,135
Waller,134
Deaf Smith,134
Crosby,131
Coke,129
Willacy,126
Schleicher,124
Brooks,123
Austin,123
Real,120
Val Verde,119
Duval,116
Edwards,113
Brewster,113
Mills,111
Wharton,108
Calhoun,106
Martin,104
Baylor,103
Irion,102
Hale,102
Kenedy,100
Mitchell,98
Ector,98
Bandera,97
Sterling,95
Matagorda,95
Pecos,91
Culberson,89
Runnels,88
Chambers,87
San Patricio,84
Fort Bend,83
Kleberg,81
Sherman,73
Webb,71
"225",66
Cameron,65
Knox,64
Garza,64
Castro,64
Reagan,63
Briscoe,63
Maverick,61
Childress,59
Roberts,57
Oldham,57
"403",54
Hockley,53
Jackson,52
Cochran,51
Menard,49
Rains,44
Refugio,43
Kinney,42
"5",42
"407",42
Dawson,40
Borden,37
"455",36
Colorado,33
"471",32
"405",32
Parmer,31
Kent,30
Crane,30
"497",30
"419",30
Yoakum,29
Foard,28
"339",28
Sutton,23
McMullen,23
El Paso,21
Upton,20
Ochiltree,20
Glasscock,19
King,18
DeWitt,18
"111",18
Terrell,16
Somervell,16
"241",16
Reeves,14
Jim Hogg,12
Hudspeth,11
"147",11
"179",8
"005",8
Loving,7
"211",6
WISE,1
RED RIVER,1
NEWTON,1
Morris County,1
Jefferson County,1
BREWSTER,1
BRAZORIA,1
"347",1
"245",1
